"sub_num","list","practice","target","abs_order","order","onset","FP","LP","resp","score","phase","class","ls_order","resp_dur","RT","cond_list"
1,2,"T","telephone",31,1,2765004.13266015,2765007.26725243,2765008.36317059,"bucket",1,"prac","np",1,1.0959181599319,3.13459227979183,1
1,2,"T","ball",32,2,2765009.31566654,2765009.49912268,2765010.37909391,"bridge",1,"prac","np",2,0.879971229936928,2.23187025031075,1
1,2,"T","shoulder",33,3,2765010.93224868,2765011.27505004,2765011.85099152,"city",1,"prac","np",3,0.57594148023054,1.77592735970393,1
1,2,"T","automobile",34,4,2765012.23215489,2765015.12283414,2765016.24275756,"carpet",1,"prac","np",4,1.11992342025042,3.8477841001004,1
1,2,"T","clock",35,5,2765016.71517978,2765017.85065043,2765018.96263831,"jewel",1,"prac","np",5,1.11198787996545,2.72781629022211,1
1,2,"T","reed",36,6,2765019.33167801,2765021.82650963,2765022.49045877,"candy",1,"prac","np",6,0.66394914034754,3.97585919965059,1
1,2,"T","portrait",37,7,2765022.89810528,2765024.94632409,2765025.64229375,"ball",1,"prac","np",7,0.6959696598351,3.1198144601658,1
1,2,"T","clay",38,8,2765025.98123871,2765029.07411063,2765030.80201386,"portrait",1,"prac","np",8,1.72790323011577,4.12778653996065,1
1,2,"T","bucket",39,9,2765031.06425413,2765032.04995655,2765033.44989872,"shoulder",1,"prac","np",9,1.39994216989726,2.97584591992199,1
1,2,"T","bridge",40,10,2765033.71375205,2765035.68172218,2765037.57763545,"powder",1,"prac","np",10,1.89591326983646,3.6317656300962,1
1,2,"T","city",41,11,2765037.83047952,2765044.06531572,2765044.80927267,"clock",1,"prac","np",11,0.743956950027496,8.38359354017302,1
1,2,"T","candy",42,12,2765045.1133166,2765049.00906476,2765051.75289554,"automobile\",1,"prac","np",12,2.74383078003302,4.94374903989956,1
1,2,"T","jewel",43,13,2765051.86292503,2765059.0005554,2765061.6163805,"telephone",1,"prac","np",13,2.61582510033622,9.99149063974619,1
1,2,"T","powder",44,14,2765061.84559088,2765073.08780119,2765073.63175054,"clay",1,"prac","np",14,0.543949349783361,14.0872457902879,1
1,2,"T","carpet",45,15,2765074.17810953,2765078.68749047,2765079.4314438,"reed",1,"prac","np",15,0.743953330442309,5.59968927968293,1
1,4,"T","lung",61,1,2765575.1289577,2765576.9091577,2765578.9490383,"chocolate",1,"prac","np",1,2.03988060029224,1.78019999992102,2
1,4,"T","saddle",62,2,2765579.24533051,2765579.6529758,2765581.0769332,"football",1,"prac","np",2,1.42395740002394,2.74381810007617,2
1,4,"T","journal",63,3,2765581.4451896,2765581.83688713,2765583.02081988,"admiral",1,"prac","np",3,1.18393275002018,2.18391133006662,2
1,4,"T","brat",64,4,2765583.91169774,2765586.20462194,2765587.116601,"saddle",1,"prac","np",4,0.911979060154408,4.36773480987176,2
1,4,"T","chocolate",65,5,2765587.51143562,2765588.57253031,2765588.95650841,"brat",1,"prac","np",5,0.383978100027889,2.36790837021545,2
1,4,"T","maiden",66,6,2765589.42800003,2765589.74844119,2765590.91638301,"journal",1,"prac","np",6,1.16794181987643,1.17591087985784,2
1,4,"T","thunder",67,7,2765591.29453697,2765591.43635545,2765592.00429468,"nail",1,"prac","np",7,0.56793922977522,1.68791426019743,2
1,4,"T","shrimp",68,8,2765592.34447208,2765596.66809802,2765597.25203603,"club",1,"prac","np",8,0.583938010036945,5.23174256971106,2
1,4,"T","blade",69,9,2765597.56080115,2765600.45992516,2765601.20384438,"blade",1,"prac","np",9,0.743919220287353,3.79182713991031,2
1,4,"T","throne",70,10,2765601.62716488,2765601.84382598,2765602.67578425,"throne",1,"prac","np",10,0.831958269700408,1.38390082027763,2
1,4,"T","picture",71,11,2765602.94378134,2765608.26749391,2765609.53940655,"thunder",1,"prac","np",11,1.27191263996065,6.42366793006659,2
1,4,"T","nail",72,12,2765609.77667624,2765610.10738471,2765611.2753214,"shrimp",1,"prac","np",12,1.16793668968603,1.83989079995081,2
1,4,"T","club",73,13,2765612.74314619,2765618.90694426,2765620.10686825,"picture",1,"prac","np",13,1.19992398982868,8.79955954989418,2
1,4,"T","admiral",74,14,2765620.37599093,2765628.81842376,2765629.61836062,"maiden",1,"prac","np",14,0.799936859868467,9.91147950012237,2
1,4,"T","football",75,15,2765629.97536659,2765636.18604508,2765636.98597167,"lung",1,"prac","np",15,0.799926590174437,7.36762131983414,2
1,6,"T","rock",91,1,2766151.87477011,2766155.15058684,2766155.80652406,"juice",1,"prac","np",1,0.655937219969928,3.2758167302236,3
1,6,"T","spice",92,2,2766156.0911861,2766156.97449123,2766157.39846795,"dove",1,"prac","np",2,0.423976719845086,1.82390438998118,3
