group,practice,other_type,prac_acc,final_acc,n,chain,acc_plus,nplus,acc_neg,nneg,prac_and_final,prac_and_not_final,not_prac_and_final,not_prac_and_not_final
immediate,C,T,NA,0.562222222222222,450,1,0.685258964143426,251,0.407035175879397,199,0.319444444444444,0.180555555555556,0.172222222222222,0.327777777777778
immediate,C,NA,NA,0.453333333333333,450,2,NA,NA,NA,NA,NA,NA,NA,NA
immediate,S,NA,NA,0.815555555555556,450,3,NA,NA,NA,NA,NA,NA,NA,NA
immediate,T,C,0.557777777777778,NA,450,4,NA,251,NA,199,NA,NA,NA,NA
immediate,T,NA,0.584444444444444,0.566666666666667,450,5,0.954372623574145,263,0.0213903743315508,187,0.502777777777778,0.0305555555555556,0.00555555555555556,0.461111111111111
delay,C,T,NA,0.331313131313131,495,1,0.453183520599251,267,0.18859649122807,228,0.23010752688172,0.286021505376344,0.0860215053763441,0.397849462365591
delay,C,NA,NA,0.292929292929293,495,2,NA,NA,NA,NA,NA,NA,NA,NA
delay,S,NA,NA,0.547474747474747,495,3,NA,NA,NA,NA,NA,NA,NA,NA
delay,T,C,0.539393939393939,NA,495,4,NA,267,NA,228,NA,NA,NA,NA
delay,T,NA,0.539393939393939,0.478787878787879,495,5,0.857677902621723,267,0.0350877192982456,228,0.445161290322581,0.0774193548387097,0.0172043010752688,0.460215053763441
