subject,group,practice,other_type,prac_acc,final_acc,n,chain,acc_plus,nplus,acc_neg,nneg,prac_and_final,prac_and_not_final,not_prac_and_final,not_prac_and_not_final
17,immediate,C,T,NA,0.0666666666666667,15,1,0,3,0.0833333333333333,12,0,0.2,0.0666666666666667,0.733333333333333
17,immediate,C,NA,NA,0.2,15,2,NA,NA,NA,NA,NA,NA,NA,NA
17,immediate,S,NA,NA,0.6,15,3,NA,NA,NA,NA,NA,NA,NA,NA
17,immediate,T,C,0.2,NA,15,4,NA,3,NA,12,NA,NA,NA,NA
17,immediate,T,NA,0.266666666666667,0.266666666666667,15,5,1,4,0,11,0.266666666666667,0,0,0.733333333333333
18,delay,C,T,NA,0.0666666666666667,15,1,0,2,0.0769230769230769,13,0,0.133333333333333,0.0666666666666667,0.8
18,delay,C,NA,NA,0,15,2,NA,NA,NA,NA,NA,NA,NA,NA
18,delay,S,NA,NA,0.2,15,3,NA,NA,NA,NA,NA,NA,NA,NA
18,delay,T,C,0.133333333333333,NA,15,4,NA,2,NA,13,NA,NA,NA,NA
18,delay,T,NA,0.133333333333333,0.133333333333333,15,5,1,2,0,13,0.133333333333333,0,0,0.866666666666667
19,immediate,C,T,NA,0.933333333333333,15,1,0.928571428571429,14,1,1,NA,NA,NA,NA
19,immediate,C,NA,NA,0.6,15,2,NA,NA,NA,NA,NA,NA,NA,NA
19,immediate,S,NA,NA,1,15,3,NA,NA,NA,NA,NA,NA,NA,NA
19,immediate,T,C,0.933333333333333,NA,15,4,NA,14,NA,1,NA,NA,NA,NA
19,immediate,T,NA,0.733333333333333,0.8,15,5,0.909090909090909,11,0.5,4,NA,NA,NA,NA
20,delay,C,T,NA,0.133333333333333,15,1,0.142857142857143,7,0.125,8,0.0666666666666667,0.4,0.0666666666666667,0.466666666666667
20,delay,C,NA,NA,0.0666666666666667,15,2,NA,NA,NA,NA,NA,NA,NA,NA
20,delay,S,NA,NA,0.466666666666667,15,3,NA,NA,NA,NA,NA,NA,NA,NA
20,delay,T,C,0.466666666666667,NA,15,4,NA,7,NA,8,NA,NA,NA,NA
20,delay,T,NA,0.4,0.466666666666667,15,5,0.833333333333333,6,0.222222222222222,9,0.333333333333333,0.0666666666666667,0.133333333333333,0.466666666666667
