subject,group,practice,other_type,timepoint,acc,n,chain,nplus,acc_plus,nneg,acc_neg
17,immediate,C,T,1,NA,15,1,NA,NA,NA,NA
17,immediate,C,NA,1,NA,15,2,NA,NA,NA,NA
17,immediate,S,NA,1,NA,15,3,NA,NA,NA,NA
17,immediate,T,C,1,0.2,15,4,NA,NA,NA,NA
17,immediate,T,NA,1,0.266666666666667,15,5,NA,NA,NA,NA
17,immediate,C,T,2,0.0666666666666667,15,1,3,0,12,0.0833333333333333
17,immediate,C,NA,2,0.2,15,2,NA,NA,NA,NA
17,immediate,S,NA,2,0.6,15,3,NA,NA,NA,NA
17,immediate,T,C,2,NA,15,4,NA,NA,NA,NA
17,immediate,T,NA,2,0.266666666666667,15,5,4,1,11,0
18,delay,C,T,1,NA,15,1,NA,NA,NA,NA
18,delay,C,NA,1,NA,15,2,NA,NA,NA,NA
18,delay,S,NA,1,NA,15,3,NA,NA,NA,NA
18,delay,T,C,1,0.133333333333333,15,4,NA,NA,NA,NA
18,delay,T,NA,1,0.133333333333333,15,5,NA,NA,NA,NA
18,delay,C,T,3,0.0666666666666667,15,1,2,0,13,0.0769230769230769
18,delay,C,NA,3,0,15,2,NA,NA,NA,NA
18,delay,S,NA,3,0.2,15,3,NA,NA,NA,NA
18,delay,T,C,3,NA,15,4,NA,NA,NA,NA
18,delay,T,NA,3,0.133333333333333,15,5,2,1,13,0
19,immediate,C,T,1,NA,15,1,NA,NA,NA,NA
19,immediate,C,NA,1,NA,15,2,NA,NA,NA,NA
19,immediate,S,NA,1,NA,15,3,NA,NA,NA,NA
19,immediate,T,C,1,0.933333333333333,15,4,NA,NA,NA,NA
19,immediate,T,NA,1,0.733333333333333,15,5,NA,NA,NA,NA
19,immediate,C,T,2,0.933333333333333,15,1,14,0.928571428571429,1,1
19,immediate,C,NA,2,0.6,15,2,NA,NA,NA,NA
19,immediate,S,NA,2,1,15,3,NA,NA,NA,NA
19,immediate,T,C,2,NA,15,4,NA,NA,NA,NA
19,immediate,T,NA,2,0.8,15,5,11,0.909090909090909,4,0.5
20,delay,C,T,1,NA,15,1,NA,NA,NA,NA
20,delay,C,NA,1,NA,15,2,NA,NA,NA,NA
20,delay,S,NA,1,NA,15,3,NA,NA,NA,NA
20,delay,T,C,1,0.466666666666667,15,4,NA,NA,NA,NA
20,delay,T,NA,1,0.4,15,5,NA,NA,NA,NA
20,delay,C,T,3,0.133333333333333,15,1,7,0.142857142857143,8,0.125
20,delay,C,NA,3,0.0666666666666667,15,2,NA,NA,NA,NA
20,delay,S,NA,3,0.466666666666667,15,3,NA,NA,NA,NA
20,delay,T,C,3,NA,15,4,NA,NA,NA,NA
20,delay,T,NA,3,0.466666666666667,15,5,6,0.833333333333333,9,0.222222222222222
27,delay,C,T,1,NA,15,1,NA,NA,NA,NA
27,delay,C,NA,1,NA,15,2,NA,NA,NA,NA
27,delay,S,NA,1,NA,15,3,NA,NA,NA,NA
27,delay,T,C,1,0.333333333333333,15,4,NA,NA,NA,NA
27,delay,T,NA,1,0.533333333333333,15,5,NA,NA,NA,NA
27,delay,C,T,3,0.133333333333333,15,1,5,0.2,10,0.1
27,delay,C,NA,3,0.2,15,2,NA,NA,NA,NA
27,delay,S,NA,3,0.266666666666667,15,3,NA,NA,NA,NA
27,delay,T,C,3,NA,15,4,NA,NA,NA,NA
27,delay,T,NA,3,0.466666666666667,15,5,8,0.875,7,0
28,delay,C,T,1,NA,15,1,NA,NA,NA,NA
28,delay,C,NA,1,NA,15,2,NA,NA,NA,NA
28,delay,S,NA,1,NA,15,3,NA,NA,NA,NA
28,delay,T,C,1,0.666666666666667,15,4,NA,NA,NA,NA
28,delay,T,NA,1,0.666666666666667,15,5,NA,NA,NA,NA
28,delay,C,T,3,0.4,15,1,10,0.4,5,0.4
28,delay,C,NA,3,0.533333333333333,15,2,NA,NA,NA,NA
28,delay,S,NA,3,0.8,15,3,NA,NA,NA,NA
28,delay,T,C,3,NA,15,4,NA,NA,NA,NA
28,delay,T,NA,3,0.533333333333333,15,5,10,0.8,5,0
29,immediate,C,T,1,NA,15,1,NA,NA,NA,NA
29,immediate,C,NA,1,NA,15,2,NA,NA,NA,NA
29,immediate,S,NA,1,NA,15,3,NA,NA,NA,NA
29,immediate,T,C,1,0.266666666666667,15,4,NA,NA,NA,NA
29,immediate,T,NA,1,0.333333333333333,15,5,NA,NA,NA,NA
29,immediate,C,T,2,0.533333333333333,15,1,4,0.5,11,0.545454545454545
